3,22.194176,nan,nan,nan
5,3.405824,1.069943,1.094083,0.876733
7,14.377253,0.132291,0.959038,0.581383
11,10.557812,0.829625,0.125917,0.870484
17,7.135352,0.111446,1.436892,1.401942
25,13.645824,0.540707,0.035190,0.371935
38,18.226877,0.078872,0.096007,0.670879
57,8.720492,0.504122,0.926824,0.890436
86,11.775571,0.128454,0.440856,1.164366
129,7.573266,0.167360,0.117991,0.844045
194,4.379743,0.095405,0.297143,0.903423
291,2.400362,0.165890,0.190788,0.833500
437,1.397837,0.026654,0.215980,0.897100
656,2.391190,0.055627,0.013836,0.919180
985,0.232755,0.017446,0.141447,0.801103
1477,1.655246,0.004328,0.236188,0.887158
2216,0.186956,0.016937,0.079265,0.820271
3325,1.367710,0.008374,0.024638,0.854585
4987,0.187216,0.003732,0.042587,0.845077
7481,0.579250,0.002429,0.050128,0.852475
11222,0.111838,0.003528,0.030079,0.846398
16834,0.432503,0.012405,0.033682,0.827577
25251,0.483194,0.005804,0.041682,0.826274
37876,0.312245,0.006437,0.025507,0.832915
56815,0.139081,0.007844,0.000494,0.832730
85222,0.085893,0.000943,0.004434,0.839876
127834,0.061473,0.001160,0.032151,0.836491
191751,0.140909,0.001947,0.007059,0.837864
287626,0.182883,0.001725,0.003995,0.835864
431439,0.051644,0.002266,0.002693,0.837687
647159,0.145610,0.002301,0.003946,0.839988
970739,0.044881,0.000887,0.011762,0.838820
1456109,0.033725,0.001314,0.003443,0.836197
2184164,0.120405,0.000965,0.000101,0.838190
3276246,0.121186,0.002271,0.000387,0.837544
4914369,0.066529,0.001673,0.000237,0.836324
7371554,0.098897,0.000730,0.002132,0.837803
